number,character,Mandarin,Definition,primaryRadical,radicalMandarin,hanzipyStrokes,hanzipyRadicals
1,的,de,"possessive, adjectival suffix",白,bái,"口, 一, ㇒, ㇆, ㇒, 丶",
1a,白,bái,"white; pure, unblemished; bright",,,,
1b,勹,bāo,wrap; Kangxi radical 20,,,,
1c,丶,zhǔ,dot; Kangxi radical 3,,,,
2,一,yī,"one; a, an; alone",一,yī,一,
2a,一,yī,"one; a, an; alone",,,,
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,rì,"口, 一, 一, 龰",
3a,日,rì,sun; day; daytime,,,,
3b,一,yī,"one; a, an; alone",,,,
3c,龰,,,,,,
4,不,bù,"no, not; un-; negative prefix",一,yī,"一, 丿, 丨, 丶",
4a,一,yī,"one; a, an; alone",,,,
4b,丿,piě,line; Kangxi radical 4,,,,
4c,卜,bo bǔ,fortune telling; prophesy,,,,
5,了,le,to finish; particle of completed action,亅,jué,"㇇, 亅",
5a,㇇,,,,,,
5b,亅,jué,hook; Kangxi radical 6,,,,
6,人,rén,man; people; mankind; someone else,人,rén,人,
6a,人,rén,man; people; mankind; someone else,,,,
7,我,wǒ,"our, us, i, me, my, we",戈,gē,"㇒, 亅, 二, 戈",
7a,手,shǒu,hand,,,,
7b,戈,gē,"halberd, spear, lance; rad. 62",,,,
8,在,zài,"be at, in, on; consist in, rest",土,tǔ,"𠂇, ㇒, 丨, 一, 丨, 一",
8a,𠂇,zuǒ,,,,,
8b,亻,rén,radical number 9,,,,
8c,土,tǔ,"soil, earth; items made of earth",,,,
9,有,yǒu,"have, own, possess; exist",月,yuè,"𠂇, 冂, 二",
9a,𠂇,zuǒ,,,,,
9b,月,yuè,moon; month; Kangxi radical 74,,,,
10,他,tā,"other, another; he, she, it",人,rén,"㇒, 丨, 乚, ㇆, 丨",
10a,亻,rén,radical number 9,,,,
10b,乚,yǐn,"hidden, mysterious, secret; to conceal; small; minute",,,,
10c,㇆,,,,,,
10d,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
11,这,zhè,"this, the, here",辵,chuò,"丶, ㇆, ㇝, 一, 丶, 乂",
11a,辶,chuò,walk; walking; Kangxi radical 162,,,,
11b,文,wén,"literature, culture, writing",,,,
12,为,wèi,"do, handle, govern, act; be",丶,zhǔ,"㇆, 丿, ⺀",
12a,力,lì,"power, capability, influence; Kangxi radical 19",,,,
12b,⺀,,,,,,
13,之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,piě,"一, 一, 丨, 一, 丶, 戈, ㇝",
13a,王,wáng,"king, ruler; royal; surname",,,,
13b,丶,zhǔ,dot; Kangxi radical 3,,,,
13c,戈,gē,"halberd, spear, lance; rad. 62",,,,
13d,㇝,,,,,,
14,大,dà,"big, great, vast, large, high",大,dà,"人, 一",
14a,大,dà,"big, great, vast, large, high",,,,
15,来,lái,"come, coming; return, returning",木,mù,"一, 丨, 八, 一, 丷",
15a,木,mù,"tree; wood, lumber; wooden",,,,
15b,一,yī,"one; a, an; alone",,,,
15c,丷,bā,"“ears-out” component used in some Chinese characters (e.g. U+5151 兑); archaic form of U+516B 八; kwukyel, an archaic hanja-based writing system used in Korea before the invention of hangul",,,,
16,以,yǐ,"by means of; thereby, therefore; consider as; in order to",人,rén,"乚, 丶, 人",
16a,乚,yǐn,"hidden, mysterious, secret; to conceal; small; minute",,,,
16b,丶,zhǔ,dot; Kangxi radical 3,,,,
16c,人,rén,man; people; mankind; someone else,,,,
17,个,gè,"numerary adjunct, piece; single",丨,gǔn,"人, 丨",
17a,人,rén,man; people; mankind; someone else,,,,
17b,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
18,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",丨,gǔn,"口, 丨",
18a,口,kǒu,"mouth; open end; entrance, gate",,,,
18b,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
19,上,shàng,"top; superior, highest; go up, send up",一,yī,"丨, 一, 一",
19a,⺊,,,,,,
19b,一,yī,"one; a, an; alone",,,,
20,们,men,adjunct pronoun indicate plural,人,rén,"㇒, 丨, 丶, 丨, ㇆",
20a,亻,rén,radical number 9,,,,
20b,门,mén,"gate, door, entrance, opening",,,,
21,到,dào,"go to, arrive, been to",刀,dāo,"一, ㇛, 丶, 一, 丨, 一, 亅, 丨",
21a,至,zhì,"reach, arrive; extremely, very; Kangxi radical 133",,,,
21b,刂,dāo,knife; radical number 18,,,,
22,说,shuō,"speak, say, talk; scold, upbraid",讠,yán,"㇊, 丶, 丷, 口, 丿, 乚",
22a,讠,yán,simplified Kangxi radical 149,,,,
22b,丷,bā,"“ears-out” component used in some Chinese characters (e.g. U+5151 兑); archaic form of U+516B 八; kwukyel, an archaic hanja-based writing system used in Korea before the invention of hangul",,,,
22c,口,kǒu,"mouth; open end; entrance, gate",,,,
22d,儿,ér,"son, child; Kangxi radical 10",,,,
23,国,guó,"nation, country, nation-state",囗,wéi,"冂, 一, 一, 一, 丨, 一, 丶",
23a,囗,wéi,"erect, proud; upright; bald",,,,
23b,玉,yù,"jade, precious stone, gem",,,,
24,和,hé,"harmony, peace; peaceful, calm",口,kǒu,"㇒, 一, 丨, 八, 口",
24a,禾,hé,grain still on stalk; rice plant,,,,
24b,口,kǒu,"mouth; open end; entrance, gate",,,,
25,地,de dì,"earth; soil, ground; region",土,tǔ,"一, 丨, 一, 乚, ㇆, 丨",
25a,土,tǔ,"soil, earth; items made of earth",,,,
25b,乚,yǐn,"hidden, mysterious, secret; to conceal; small; minute",,,,
25c,㇆,,,,,,
25d,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
26,也,yě,also; classical final particle of strong affirmation or identity,乙,yǐ,"乚, ㇆, 丨",
26a,乚,yǐn,"hidden, mysterious, secret; to conceal; small; minute",,,,
26b,㇆,,,,,,
26c,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
27,子,zi,"offspring, child; fruit, seed of; first earthly branch",子,zi,"㇇, 亅, 一",
27a,子,zi,"offspring, child; fruit, seed of; first earthly branch",,,,
28,时,shí,"time, season; era, age, period",日,rì,"口, 一, 𠂇, 亅, 丶",
28a,日,rì,sun; day; daytime,,,,
28b,寸,cùn,"inch; small, tiny; Kangxi radical 41",,,,
29,道,dào,"path, road, street; method, way",辵,chuò,"丶, ㇆, ㇝, 丷, 一, 口, 二, 丶",
29a,辶,chuò,walk; walking; Kangxi radical 162,,,,
29b,首,shǒu,"head; first; leader, chief; a poem; Kangxi radical 185",,,,
30,出,chū,"go out, send out; stand; produce",凵,qiǎn,出,
30a,出,chū,"go out, send out; stand; produce",,,,
31,而,ér,and; and then; and yet; but; Kangxi radical 126,而,ér,"一, 丿, 冂, 丨",
31a,而,ér,and; and then; and yet; but; Kangxi radical 126,,,,
32,要,yào,"necessary, essential; necessity",襾,yà,"覀, ㇛, 一, 丿",
32a,覀,xī,variant of Kangxi radical 146,,,,
32b,女,nǚ,"woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)",,,,
33,于,yú,"in, on, at; go to; surname",二,èr,"一, 一, 丨, 亅",
33a,干,gàn,"oppose, offend; invade; dried",,,,
33b,亅,jué,hook; Kangxi radical 6,,,,
34,就,jiù,"just, simply; to come, go to; to approach, near",尢,yóu,"一, 丶, 口, 亅, 八, 𠂇, 乚, 丶",
34a,亠,tóu,head; Kangxi radical 8,,,,
34b,口,kǒu,"mouth; open end; entrance, gate",,,,
34c,小,xiǎo,"small, tiny, insignificant",,,,
34d,尢,yóu,weak; Kangxi radical 43,,,,
34e,丶,zhǔ,dot; Kangxi radical 3,,,,
35,下,xià,"under, underneath, below; down; inferior; bring down",一,yī,"一, 丨, 丶",
35a,一,yī,"one; a, an; alone",,,,
35b,卜,bo bǔ,fortune telling; prophesy,,,,
36,得,dé,"obtain, get, gain, acquire",彳,chì,"㇒, 丨, 口, 一, 一, 𠂇, 亅, 丶",
36a,彳,chì,step with left foot; rad. no 60,,,,
36b,日,rì,sun; day; daytime,,,,
36c,一,yī,"one; a, an; alone",,,,
36d,寸,cùn,"inch; small, tiny; Kangxi radical 41",,,,
37,可,kě,"may, can, -able; possibly",口,kǒu,"一, 亅, 口",
37a,一,yī,"one; a, an; alone",,,,
37b,亅,jué,hook; Kangxi radical 6,,,,
37c,口,kǒu,"mouth; open end; entrance, gate",,,,
38,你,nǐ,"you, second person pronoun",人,rén,"㇒, 丨, ⺈, 亅, 八",
38a,亻,rén,radical number 9,,,,
38b,⺈,,,,,,
38c,小,xiǎo,"small, tiny, insignificant",,,,
39,年,nián,year; new-years; person's age,干,gàn,"丿, 一, 一, 丨, ㇗, 丨",
39a,丿,piě,line; Kangxi radical 4,,,,
39b,一,yī,"one; a, an; alone",,,,
39c,十,shí,"ten, tenth; complete; perfect",,,,
39d,㇗,,,,,,
39e,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
40,生,shēng,"life, living, lifetime; birth",生,shēng,"龶, ㇒",
40a,生,shēng,"life, living, lifetime; birth",,,,
41,自,zì,"self, private, personal; from; Kangxi radical 132",自,zì,"口, 二, 丶",
41a,自,zì,"self, private, personal; from; Kangxi radical 132",,,,
42,会,huì,"assemble, meet together; meeting",人,rén,"人, 二, ㇛, 丶",
42a,人,rén,man; people; mankind; someone else,,,,
42b,二,èr,two; twice,,,,
42c,厶,sī,"private, secret; Kangxi radical 28",,,,
43,那,nà,"that, that one, those",邑,yì,"㇆, 二, 丨, 丨, ㇌",
43a,㇆,,,,,,
43b,二,èr,two; twice,,,,
43c,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
43d,阝,fù,place; Kangxi radical 170,,,,
44,后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",口,kǒu,"丿, ㇒, 一, 口",
44a,⺁,,,,,,
44b,一,yī,"one; a, an; alone",,,,
44c,口,kǒu,"mouth; open end; entrance, gate",,,,
45,能,néng,"to be able; can, permitted to; ability",肉,ròu,"㇛, 丶, 冂, 二, 匕",
45a,厶,sī,"private, secret; Kangxi radical 28",,,,
45b,月,yuè,moon; month; Kangxi radical 74,,,,
45c,No glyph available,,,,,,
46,对,duì,"correct, right; facing, opposed",寸,cùn,"㇇, ㇏, 𠂇, 亅, 丶",
46a,又,yòu,"and, also, again, in addition",,,,
46b,寸,cùn,"inch; small, tiny; Kangxi radical 41",,,,
47,着,zhe,"make move, take action",目,mù,"一, 二, 丨, 丷, 口, 二",
47a,羊,yáng,"sheep, goat; Kangxi radical 123",,,,
47b,目,mù,"eye; look, see; division, topic; Kangxi radical 109",,,,
48,事,shì,"affair, matter, business; to serve; accident, incident",亅,jué,"一, 丨, 口, 丨, 匚, 一, 丨, 亅",
48a,十,shí,"ten, tenth; complete; perfect",,,,
48b,口,kǒu,"mouth; open end; entrance, gate",,,,
48c,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
48d,⺺,,,,,,
48e,亅,jué,hook; Kangxi radical 6,,,,
49,其,qí,"his, her, its, their; that",八,bā,"艹, 二, 一, 八",
49a,甘,gān,"sweetness; sweet, tasty",,,,
49b,一,yī,"one; a, an; alone",,,,
49c,八,bā,"eight; all around, all sides",,,,
50,里,lǐ,unit of distance; village; lane; Kangxi radical 166,里,lǐ,"冂, 一, 丨, 一, 一, 丨, 一",
50a,里,lǐ,unit of distance; village; lane; Kangxi radical 166,,,,
51,所,suǒ,"place, location; numerary adjunct",戶,hù,"丿, ㇒, 匚, 丿, ㇒, 一, 丨",
51a,戶,hù,"door; family, household",,,,
51b,斤,jīn,"a catty (approximately 600 g); an axe; keen, shrewd; Kangxi radical 69",,,,
52,去,qù,"go away, leave, depart",厶,sī,"一, 丨, 一, ㇛, 丶",
52a,土,tǔ,"soil, earth; items made of earth",,,,
52b,厶,sī,"private, secret; Kangxi radical 28",,,,
53,行,xíng,"go; walk; move, travel; circulate; Kangxi radical 144",行,xíng,"㇒, 丨, 二, 亅",
53a,行,xíng,"go; walk; move, travel; circulate; Kangxi radical 144",,,,
54,过,guò,"pass, pass through, go across",辵,chuò,"丶, ㇆, ㇝, 𠂇, 亅, 丶",
54a,辶,chuò,walk; walking; Kangxi radical 162,,,,
54b,寸,cùn,"inch; small, tiny; Kangxi radical 41",,,,
55,家,jiā,"house, home, residence; family",宀,mián,"冖, 丶, 一, ㇆, ㇒, ㇒, 冫",
55a,宀,mián,roof; Kangxi radical 40,,,,
55b,豕,shǐ,"a pig, boar; Kangxi radical 152",,,,
56,十,shí,"ten, tenth; complete; perfect",十,shí,"一, 丨",
56a,十,shí,"ten, tenth; complete; perfect",,,,
57,用,yòng,"use, employ, apply, operate; use",用,yòng,"冂, 二, 丨",
57a,用,yòng,"use, employ, apply, operate; use",,,,
58,发,fā,"issue, dispatch, send out; hair",又,yòu,"㇗, 丨, 丶, ㇇, ㇏",
58a,㇗,,,,,,
58b,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
58c,丶,zhǔ,dot; Kangxi radical 3,,,,
58d,又,yòu,"and, also, again, in addition",,,,
59,天,tiān,"sky, heaven; god, celestial",大,dà,"一, 人, 一",
59a,一,yī,"one; a, an; alone",,,,
59b,大,dà,"big, great, vast, large, high",,,,
60,如,rú,"if, supposing; as if; like, as",女,nǚ,"㇛, 一, 丿, 口",
60a,女,nǚ,"woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)",,,,
60b,口,kǒu,"mouth; open end; entrance, gate",,,,
61,然,rán,"yes, certainly; pledge, promise",火,huǒ,"冂, 二, 人, 一, 丶, 灬",
61a,月,yuè,moon; month; Kangxi radical 74,,,,
61b,犬,quǎn,dog; radical number 94,,,,
61c,灬,biāo,fire; radical number 86,,,,
62,作,zuò,"make; work; compose, write; act, perform",人,rén,"㇒, 丨, 丿, 一, 丨, 二",
62a,亻,rén,radical number 9,,,,
62b,丿,piě,line; Kangxi radical 4,,,,
62c,一,yī,"one; a, an; alone",,,,
62d,丨,gǔn,(same as U+3021 HANGZHOU NUMERAL ONE 〡) number one; line; Kangxi radical 2,,,,
62e,二,èr,two; twice,,,,
63,方,fāng,"a square, rectangle; a region; local",方,fāng,"一, 丶, 丿, ㇆",
63a,方,fāng,"a square, rectangle; a region; local",,,,
64,成,chéng,"completed, finished, fixed",戈,gē,"一, 丿, ㇆, 戈",
64a,一,yī,"one; a, an; alone",,,,
64b,丿,piě,line; Kangxi radical 4,,,,
64c,㇆,,,,,,
64d,戈,gē,"halberd, spear, lance; rad. 62",,,,
65,者,zhě,that which; he who; those who,老,lǎo,"耂, 口, 一",
